# run 1
CHANGE	eras/age_V/annals/age_V_01.json:EV-1007.body	the bridge at Cathair dhearg	->	Drochaid Cathair dhearg	|	 sent up by Pike, comes to the smiths' lane below the bridge at Cathair dhearg and works through the autumn 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:16	The grey fever	->	Am Fiabhras Glas	|	| The grey fever | 138–140 | the whole island;
CHANGE	eras/age_V/appendices/C_hosts_wars.md:18	The strangers' fever	->	Fiabhras nan Coigreach	|	**The strangers' fever** came ashore with a crowded 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:18	the Administration	->	Riaghaltas nan Coigreach	|	very traveller, and the fever never reached them; the Administration fined them for hindering trad
CHANGE	eras/age_V/appendices/C_hosts_wars.md:20	The Mission's	->	Teachdaireachd na h-Eaglaise's	|	h among the boys who broke coal at the pit-mouth. The Mission's surgeon called it a winter co
CHANGE	eras/age_V/appendices/C_hosts_wars.md:20	the Company	->	A' Chompanaidh	|	 took in the orphans at its own custodians' cost; the Company, asked to give toward the hou
CHANGE	eras/age_V/appendices/C_hosts_wars.md:20	Mission primers	->	Teachdaireachd na h-Eaglaise's primers	|	, asked to give toward the house, sent a crate of Mission primers.
CHANGE	eras/age_V/appendices/C_hosts_wars.md:22	The spotted pox	->	A' Bhreac Bhallach	|	**The spotted pox** came ashore at Ros dhomhain
CHANGE	eras/age_V/appendices/C_hosts_wars.md:22	a Company ship	->	a ship of A' Chompanaidh	|	*The spotted pox** came ashore at Ros dhomhain on a Company ship and climbed the coal road int
CHANGE	eras/age_V/appendices/C_hosts_wars.md:22	the coal road	->	Rathad na Mèinne	|	ore at Ros dhomhain on a Company ship and climbed the coal road into the camps, worst in the 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:22	The Mission	->	Teachdaireachd na h-Eaglaise	|	 in the huts at Àth ìseal and at Achadh dhomhain. The Mission counted four hundred and six 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:22	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	ians wrote the difference between their count and the Mission's in the margin of the Mission'
CHANGE	eras/age_V/appendices/C_hosts_wars.md:22	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	en their count and the Mission's in the margin of the Mission's list. At Baile chiar in the s
CHANGE	eras/age_V/appendices/C_hosts_wars.md:24	the Company's	->	A' Chompanaidh's	|	y quay the town had for the coal traffic and paid the Company's fine from the purse that had 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:26	The Green Death	->	A' Phlàigh Uaine	|	**The Green Death** began at Achadh dhomhain: a
CHANGE	eras/age_V/appendices/C_hosts_wars.md:26	Commissioner	->	Àrd-mhaor	|	d at Muileann chrom and never finished his table. Commissioner Crane, who walked the sick-ro
CHANGE	eras/age_V/appendices/C_hosts_wars.md:28	the Long Drought	->	Tiormachd Achadh shean	|	**The drought-fever** followed the Long Drought into the towns. At Baile Mòr 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:28	the Mission	->	Teachdaireachd na h-Eaglaise	|	d been deepened into the old middens, and Coll of the Mission named the cause rightly. Cnoc
CHANGE	eras/age_V/appendices/C_hosts_wars.md:30	The lung-rot	->	Grodadh nan Scamhan	|	**The lung-rot** was a wasting of the lungs 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:30	the Green Death	->	A' Phlàigh Uaine	|	g of the lungs among the night crews, slower than the Green Death. The Company paid the familie
CHANGE	eras/age_V/appendices/C_hosts_wars.md:30	The Company	->	A' Chompanaidh	|	ong the night crews, slower than the Green Death. The Company paid the families of the dead
CHANGE	eras/age_V/appendices/C_hosts_wars.md:32	The grey fever	->	Am Fiabhras Glas	|	**The grey fever** was a fever of the chest th
CHANGE	eras/age_V/appendices/C_hosts_wars.md:32	the Administration's	->	Riaghaltas nan Coigreach's	|	hòr for the first time in the town's memory, took the Administration's physician at Dùn thais and tw
CHANGE	eras/age_V/appendices/C_hosts_wars.md:32	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	dministration's physician at Dùn thais and two of the Mission's nurses, and came back to sett
CHANGE	eras/age_V/appendices/C_hosts_wars.md:38	the Great Hunger	->	Gorta Baile chrom	|	**Gorta Baile chrom, the Great Hunger**, followed a failed harvest 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:38	the Levy	->	An Togail	|	t from the ninety-fourth year, made worse because the Levy had taken one in five of the 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:38	the Mission	->	Teachdaireachd na h-Eaglaise	|	s mhin ate its seed corn in the second winter and the Mission fed three hundred a day at th
CHANGE	eras/age_V/appendices/C_hosts_wars.md:38	the Residency	->	Taigh an Àrd-mhaoir	|	om an Tìr Thall lay a month at Ros dhomhain while the Residency and the Company disputed who 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:38	the Company	->	A' Chompanaidh	|	y a month at Ros dhomhain while the Residency and the Company disputed who should pay for i
CHANGE	eras/age_V/appendices/C_hosts_wars.md:38	(appositive)	->	Gorta Baile chrom	|	dropped the English gloss beside Gorta Baile chrom
CHANGE	eras/age_V/appendices/C_hosts_wars.md:40	the Long Drought	->	Tiormachd Achadh shean	|	**Tiormachd Achadh shean, the Long Drought**, lay on the east three dry 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:40	(appositive)	->	Tiormachd Achadh shean	|	dropped the English gloss beside Tiormachd Achadh shean
CHANGE	eras/age_V/appendices/C_hosts_wars.md:44	the first strike	->	Stad-oibre Baile thais	|	ys of Baile thais**, in the seventy-seventh year, the first strike of the age: Catrìona nic Each
CHANGE	eras/age_V/appendices/C_hosts_wars.md:44	the Company	->	A' Chompanaidh	|	e age: Catrìona nic Eachainn called the halt when the Company would not close the gallery t
CHANGE	eras/age_V/appendices/C_hosts_wars.md:44	the Green Death	->	A' Phlàigh Uaine	|	halt when the Company would not close the gallery the Green Death had come out of, and it ended
CHANGE	eras/age_V/appendices/C_hosts_wars.md:44	the Company	->	A' Chompanaidh	|	 of, and it ended when the food ran out. After it the Company built its own granary at Muil
CHANGE	eras/age_V/appendices/C_hosts_wars.md:46	The night-shift strike	->	Stad-oibre Cnoc chaol	|	**The night-shift strike** at Cnoc chaol, in the hundr
CHANGE	eras/age_V/appendices/C_hosts_wars.md:46	The Lamp-Watch's	->	Faire nan Lòchran's	|	ain, whose townsfolk turned them from every door. The Lamp-Watch's purse ran dry keeping the str
CHANGE	eras/age_V/appendices/C_hosts_wars.md:48	The dockers' strike	->	Stad-oibre a' Chalaidh	|	**The dockers' strike** at Ros dhomhain, in the hun
CHANGE	eras/age_V/appendices/C_hosts_wars.md:50	The first stoppage together	->	Là Stad nan Sloc	|	**The first stoppage together**, in the hundred and forty-t
CHANGE	eras/age_V/appendices/C_hosts_wars.md:50	the Company's	->	A' Chompanaidh's	|	gheal, unasked. It ended when the constables shut the Company's stores in every district at o
CHANGE	eras/age_V/appendices/C_hosts_wars.md:54	the Administration	->	Riaghaltas nan Coigreach	|	 and thirty-second year, the first standing force the Administration kept on the island. His first
CHANGE	eras/age_V/appendices/C_hosts_wars.md:58	The silver guild's	->	Comann an Airgid's	|	er of Uilleam Gobha's forge at Muileann dhearg. **The silver guild's riflemen**, armed through the
CHANGE	eras/age_V/appendices/C_hosts_wars.md:58	the Leaden Hawk	->	Buidheann an t-Seabhaig Luaidhe	|	 the road between Ros bheag and the north-west; **the Leaden Hawk**, Buidheann an t-Seabhaig Lu
CHANGE	eras/age_V/appendices/C_hosts_wars.md:58	the Hawk coast	->	Oirthir an t-Seabhaig	|	 Muileann chrom, carried the council's letters to the Hawk coast and stood in that company's f
CHANGE	eras/age_V/appendices/C_hosts_wars.md:58	the Administration	->	Riaghaltas nan Coigreach	|	 stood in that company's first rank. Against them the Administration had its constables, the Compa
CHANGE	eras/age_V/appendices/C_hosts_wars.md:58	the Company's	->	A' Chompanaidh's	|	ainst them the Administration had its constables, the Company's guards, a few ships, and what
CHANGE	eras/age_V/appendices/C_hosts_wars.md:63	the Residency	->	Taigh an Àrd-mhaoir	|	 sends its boats to the council. Strake fortifies the Residency and the Company's quarter of 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:63	the Company's	->	A' Chompanaidh's	|	o the council. Strake fortifies the Residency and the Company's quarter of the harbour. The r
CHANGE	eras/age_V/appendices/C_hosts_wars.md:65	The silver guild	->	Comann an Airgid	|	- **The east cleared.** The silver guild declares for the council; the
CHANGE	eras/age_V/appendices/C_hosts_wars.md:66	A Company steamship	->	A steamship of A' Chompanaidh	|	- **Winter, AE 149–150.** A Company steamship shells the coal stage at Sean
CHANGE	eras/age_V/appendices/C_hosts_wars.md:66	the Company's	->	A' Chompanaidh's	|	 at Seann Toll; twenty-three die. Inis mhòr burns the Company's coal on its quays; the fishin
CHANGE	eras/age_V/appendices/C_hosts_wars.md:66	two Company ships	->	two ships of A' Chompanaidh	|	aill's own hand, then Àth dhearg and Baile ìseal; two Company ships are lost on the reefs.
CHANGE	eras/age_V/appendices/C_hosts_wars.md:67	The Leaden Hawk	->	Buidheann an t-Seabhaig Luaidhe	|	- **Spring and summer, AE 150.** The Leaden Hawk walks to the Hawk coast in si
CHANGE	eras/age_V/appendices/C_hosts_wars.md:67	the Hawk coast	->	Oirthir an t-Seabhaig	|	ng and summer, AE 150.** The Leaden Hawk walks to the Hawk coast in six days. The hawk-shrines
CHANGE	eras/age_V/appendices/C_hosts_wars.md:67	the Residency	->	Taigh an Àrd-mhaoir	|	l has the hills, the east and the capital; Strake the Residency, the harbour quarter and the 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:68	the Administration	->	Riaghaltas nan Coigreach	|	om. The sally at Cnoc ghorm driven back, the last the Administration made. The harbour quarter of 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:68	the Company's	->	A' Chompanaidh's	|	os dhomhain opens its lower gates to the council; the Company's flying machine is burned in i
CHANGE	eras/age_V/appendices/C_hosts_wars.md:68	the Residency	->	Taigh an Àrd-mhaoir	|	s shed; Cuan uaine opens its quays. Strake leaves the Residency by water on the twenty-first 
CHANGE	eras/age_V/appendices/C_hosts_wars.md:68	the council's companies	->	Buidhnean na Comhairle	|	by water on the twenty-first of an t-Sultain, and the council's companies find it stripped next morning
CHANGE	eras/age_V/appendices/C_hosts_wars.md:69	The truce of Àth àrsaidh	->	Fosadh Àth àrsaidh	|	h; hunger, and the stores opened to both peoples. The truce of Àth àrsaidh. The columns go north under t
CHANGE	eras/age_V/appendices/D_reckoning.md:7	their Diosal year	->	their year of An Diosal	|	ore the ships the custodians dated their rolls by their Diosal year, counted from the sunwise tur
CHANGE	eras/age_V/appendices/D_reckoning.md:7	the sunwise turn	->	An Diosal	|	ed their rolls by their Diosal year, counted from the sunwise turn of the fleet of the Sundering
CHANGE	eras/age_V/appendices/D_reckoning.md:7	the fleet of the Sundering	->	Cabhlach an Scaraidh	|	eir Diosal year, counted from the sunwise turn of the fleet of the Sundering, and by the moon. They reckon
CHANGE	eras/age_V/appendices/D_reckoning.md:9	the Administration's	->	Riaghaltas nan Coigreach's	|	 it. That wheel, which survives in Wren's list in the Administration's letter-books, is the first wr
CHANGE	eras/age_V/appendices/D_reckoning.md:11	The first written treaty	->	Cùmhnant Cathair dhearg	|	The first written treaty, in the eighth year, was date
CHANGE	eras/age_V/appendices/D_reckoning.md:11	its Diosal year	->	its year of An Diosal	|	ne. The custodians entered it in their roll under its Diosal year and the moon in which it was 
CHANGE	eras/age_V/appendices/D_reckoning.md:11	the Administration	->	Riaghaltas nan Coigreach	|	 moon in which it was signed, and left the day to the Administration. So it went with the Harbour 
CHANGE	eras/age_V/appendices/D_reckoning.md:11	the Harbour Articles	->	Puingean a' Chalaidh	|	ft the day to the Administration. So it went with the Harbour Articles, the Company's charter and ev
CHANGE	eras/age_V/appendices/D_reckoning.md:11	the Company's charter	->	Cairt na Companaidh	|	nistration. So it went with the Harbour Articles, the Company's charter and every contract for the pi
CHANGE	eras/age_V/appendices/D_reckoning.md:11	its Diosal year	->	its year of An Diosal	|	ote the humans' year at the head of each page and its Diosal year beneath it, and kept the moon
CHANGE	eras/age_V/appendices/D_reckoning.md:11	the cellar at Muileann chaol	->	Seilear Muileann chaol	|	 margin where the roll needed it; the copyists of the cellar at Muileann chaol, making their fair copies, se
CHANGE	eras/age_V/appendices/D_reckoning.md:15	The Administration's count of the people	->	Cunntas an Riaghaltais	|	ghts of the full and the dark as they always had. The Administration's count of the people in the hundred and twenty-sec
CHANGE	eras/age_V/appendices/D_reckoning.md:19	the Company's	->	A' Chompanaidh's	|	The week came to the island with the Company's contracts before it came with
CHANGE	eras/age_V/appendices/D_reckoning.md:19	the Mission	->	Teachdaireachd na h-Eaglaise	|	 with the Company's contracts before it came with the Mission. The first contracts paid the
CHANGE	eras/age_V/appendices/D_reckoning.md:19	the Company	->	A' Chompanaidh	|	y of rest, so that the Dia-thìrich who worked for the Company learned the week before any o
CHANGE	eras/age_V/appendices/D_reckoning.md:19	the Mission	->	Teachdaireachd na h-Eaglaise	|	 the week before any of them was christened. When the Mission raised its chapel on the quay
CHANGE	eras/age_V/appendices/D_reckoning.md:21	the Mission	->	Teachdaireachd na h-Eaglaise	|	The hewers made less of the difference than the Mission did. Matthew Dunne, the Missi
CHANGE	eras/age_V/appendices/D_reckoning.md:21	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	e difference than the Mission did. Matthew Dunne, the Mission's own minister at Ros dhomhain,
CHANGE	eras/age_V/appendices/D_reckoning.md:21	the Company	->	A' Chompanaidh	|	 the Mission's own minister at Ros dhomhain, told the Company against the night-shift order
CHANGE	eras/age_V/appendices/D_reckoning.md:21	the night-shift order	->	Àithne na h-Oidhche	|	inister at Ros dhomhain, told the Company against the night-shift order that the Dia-thìrich were rig
CHANGE	eras/age_V/appendices/D_reckoning.md:27	the silver guild	->	Comann an Airgid	|	**Silver for marks.** From the eighty-third year the silver guild of Muileann chiar sold bar si
CHANGE	eras/age_V/appendices/D_reckoning.md:27	the Company	->	A' Chompanaidh	|	silver guild of Muileann chiar sold bar silver to the Company for marks at a price the guil
CHANGE	eras/age_V/appendices/D_reckoning.md:29	the Residency's	->	Taigh an Àrd-mhaoir's	|	g, the priests of Macha at Cathair dhearg blessed the Residency's new coin, and in the eighty-s
CHANGE	eras/age_V/appendices/D_reckoning.md:29	the Administration	->	Riaghaltas nan Coigreach	|	ked down against the coin a second time, on terms the Administration alone set.
CHANGE	eras/age_V/appendices/D_reckoning.md:31	the Crossing	->	An t-Aiseag	|	 fish had changed hands without coin since before the Crossing, were shut by order, and a cl
CHANGE	eras/age_V/appendices/D_reckoning.md:31	the Residency	->	Taigh an Àrd-mhaoir	|	 the Crossing, were shut by order, and a clerk of the Residency wrote that the ledgers were n
CHANGE	eras/age_V/appendices/D_reckoning.md:31	the Company's	->	A' Chompanaidh's	|	The hill villages borrowed marks at interest from the Company's stores to buy seed, and withi
CHANGE	eras/age_V/appendices/D_reckoning.md:31	the Company	->	A' Chompanaidh	|	years most of the villages of Muileann chrom owed the Company more than a year's crop. The 
CHANGE	eras/age_V/appendices/D_reckoning.md:35	the Company's	->	A' Chompanaidh's	|	ton, in iron tools and lamp-oil, and from then on the Company's steelyard stood at every pit-
CHANGE	eras/age_V/appendices/D_reckoning.md:37	The Company	->	A' Chompanaidh	|	The Company measured its crews by the tal
CHANGE	eras/age_V/appendices/D_reckoning.md:37	the Green Death	->	A' Phlàigh Uaine	|	 raise in a season. The tally was not lowered for the Green Death, nor for the drought, nor for
CHANGE	eras/age_V/appendices/D_reckoning.md:39	the Administration's	->	Riaghaltas nan Coigreach's	|	Nathaniel Bright, the Administration's physician, kept one other wei
CHANGE	eras/age_V/appendices/D_reckoning.md:39	the Residency	->	Taigh an Àrd-mhaoir	|	. His book, with its broken-off row, was filed at the Residency and never taken up again.
CHANGE	eras/age_V/appendices/D_reckoning.md:43	The Administration	->	Riaghaltas nan Coigreach	|	The Administration took a share of all the coal 
CHANGE	eras/age_V/appendices/D_reckoning.md:43	the Company	->	A' Chompanaidh	|	oal mined on the island, the tithe, paid to it by the Company and entered against every set
CHANGE	eras/age_V/appendices/D_reckoning.md:43	a Mission pupil	->	a pupil of Teachdaireachd na h-Eaglaise	|	py in the humans' tongue with a rendering made by a Mission pupil. In the next year the tithe-g
CHANGE	eras/age_V/appendices/D_reckoning.md:49	the Company's	->	A' Chompanaidh's	|	s begun at Àth dhearg by Tormod mac Pheadair, and the Company's clerk who read it called its 
CHANGE	eras/age_V/appendices/D_reckoning.md:49	Commissioner's	->	Àrd-mhaor's	|	Baile chrom that the day and the hour of the last Commissioner's leaving are known. On the nig
CHANGE	eras/age_V/appendices/E_words.md:25	the Company	->	A' Chompanaidh	|	**maor** · "steward". Under the Company, a Dia-thìreach set over Dia-
CHANGE	eras/age_V/appendices/E_words.md:37	the Residency	->	Taigh an Àrd-mhaoir	|	he close of the age, and reported none of them to the Residency.
CHANGE	eras/age_V/appendices/E_words.md:69	the edict of seizure	->	Àithne a' Ghlacaidh	|	lifted from his own doorstone at Doire mhòr under the edict of seizure.
CHANGE	eras/age_V/appendices/E_words.md:71	the Mission	->	Teachdaireachd na h-Eaglaise	|	*We keep the sky.* Hannah Webb's answer when the Mission asked what she kept in the fi
CHANGE	eras/age_V/appendices/E_words.md:75	the Residency	->	Taigh an Àrd-mhaoir	|	aid in the council, in the hearing of no clerk of the Residency, in the years it chose no hea
LEFT	eras/age_V/annals/age_V_02.json:EV-1554.body	the Stone	(no "the" before it)	|	Abel Stone and Hugh Mercer come up the road to Mui
LEFT	eras/age_V/annals/age_V_02.json:EV-1555.body	the Stone	(no "the" before it)	|	even days Raghnall mac Dhòmhnaill leads Stone and Mercer through the hills north and 
LEFT	eras/age_V/annals/age_V_02.json:EV-1511.body	the Stone	(no "the" before it)	|	Abel Stone brings the first contract of A' Chompan
LEFT	eras/age_V/annals/age_V_02.json:EV-1512.body	the Stone	(no "the" before it)	|	Abel Stone names Raghnall mac Dhòmhnaill, who walk
LEFT	eras/age_V/annals/age_V_02.json:EV-1558.body	the Stone	(no "the" before it)	|	 At dusk the clerk adds his figures and Stone calls out one ton, the first coal of th
LEFT	eras/age_V/annals/age_V_05.json:EV-3066.body	the beacon at Muileann bheag	(no "the" before it)	|	omplaint laid by the keepers of the new beacon at Muileann bheag. He rides three days by mule-track and 
LEFT	eras/age_V/annals/age_V_07.json:EV-4031.title	the first fire	(no "the" before it)	|	The dissenters' first fire under the oaks
LEFT	eras/age_V/annals/age_V_10.json:EV-5513.body	the coal-touched	(no "the" before it)	|	When the Residency orders every coal-touched child reported to the Commissioner's of
LEFT	eras/age_V/annals/age_V_10.json:EV-5514.body	the coal-touched	(no "the" before it)	|	 Company agent whether she knows of any coal-touched child in her district, a custodian of C
LEFT	eras/age_V/annals/age_V_12.json:EV-6502.body	the coal road	(no "the" before it)	|	ies Uilleam Gobha's grenades up the cut coal road to the crews waiting at the ford of Àth
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:95	the Stone	(no "the" before it)	|	ard across the river; his name was Abel Stone. The other was younger and taller and s
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:99	the Stone	(no "the" before it)	|	 wife lent Mercer a dry shirt. But when Stone spread his hands and said "Coal?" and p
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:103	the Stone	(no "the" before it)	|	Stone had taken a coin out of his purse and l
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:117	the Stone	(no "the" before it)	|	They were eleven days on the hill. Stone and Mercer knew what they were looking 
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:117	the Stone	(no "the" before it)	|	ds that got better as the days went on. Stone wanted water: streams, gullies, the pla
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:119	the Stone	(no "the" before it)	|	It showed. In the second gully Stone went down on his knees in the wet and s
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:119	the Stone	(no "the" before it)	|	e turf like a black river under a bank. Stone broke off a piece and turned it in his 
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:125	the Stone	(no "the" before it)	|	own him a pebble, and said something to Stone, and Stone laughed, not unkindly, and s
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:125	the Stone	(no "the" before it)	|	ebble, and said something to Stone, and Stone laughed, not unkindly, and said a word 
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:127	the Stone	(no "the" before it)	|	e paces from the last. On the fifth day Stone took to walking the seam. He went along
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:129	the Stone	(no "the" before it)	|	ks down on the valley of Abhainn uaine, Stone stopped on a knoll in the evening and l
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:129	the Stone	(no "the" before it)	|	g to Mercer. Mercer wrote it down. Then Stone turned to Raghnall and said, slowly, in
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:135	the Stone	(no "the" before it)	|	ight they camped under a peat-bank, and Stone and Mercer drank from a flask and talke
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:137	the Stone	(no "the" before it)	|	ack on his own back the last miles, and Stone and Mercer each carried one, and all th
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:137	the Stone	(no "the" before it)	|	em were black to the elbow. At the mill Stone paid him the coin. Raghnall took it and
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:149	the Stone	(no "the" before it)	|	t read it either. He counted the sacks. Stone had filled thirteen.
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:175	the Stone	(no "the" before it)	|	Abel Stone brought them. He came up the road to Mu
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:181	the Stone	(no "the" before it)	|	When the reading was done Stone looked round the room and found Raghnal
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:197	the Stone	(no "the" before it)	|	below the old cutting, in a gully where Stone had broken the seam the winter before; 
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:199	the Stone	(no "the" before it)	|	Stone had the beam set up that afternoon at t
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:201	the Stone	(no "the" before it)	|	added his figures and said something to Stone, and Stone turned round to the crew and
LEFT	eras/age_V/book/07_of_the_fever_and_the_sacks_of_coal.md:201	the Stone	(no "the" before it)	|	igures and said something to Stone, and Stone turned round to the crew and held up on
LEFT	eras/age_V/book/11_of_the_eleven_of_cnoc_fhiadhaich.md:25	the Stone	(no "the" before it)	|	e agent could not see it, any more than Stone and Mercer had seen the green in the sa
LEFT	eras/age_V/book/11_of_the_eleven_of_cnoc_fhiadhaich.md:71	the dry cough	(no "the" before it)	|	It was a dry cough. It had no wet in it and no fever, whic
LEFT	eras/age_V/book/18_of_lowes_spade.md:75	the column near Cnoc ghorm	(no "the" before it)	|	iar, weathered past most reading, and a column near Cnoc ghorm that stood a little taller and a little
LEFT	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:83	the Company	(no "the" before it)	|	 and steady against a hard wind, that a Company which begrudged a stone a gallery to th
LEFT	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:23	the high custodian of the Council of Custodians	(no "the" before it)	|	en asked to bless: the seating of a new high custodian of the Council of Custodians, the first in ten years.
LEFT	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:109	the strike at Baile thais	(no "the" before it)	|	ore than a week's grain against her own strike at Baile thais, years before she ever came east, and t
LEFT	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:43	the sacred forest	(another thing of the same English name)	|	h took their pupils under the trees, to the sacred forest of Flidais near Muileann chiar, where t
LEFT	eras/age_V/book/24_of_gorta_baile_chrom.md:40	the Levy	(no "the" before it)	|	Company's charge, being the party whose Levy had emptied the fields, and the Company
LEFT	eras/age_V/book/28_of_the_law_of_one_line.md:33	the Residency	(no "the" before it)	|	know what a marriage entered in its own Residency's register is, or say plainly that it doe
LEFT	eras/age_V/book/28_of_the_law_of_one_line.md:75	the burial club	(no "the" before it)	|	oc chaol, calling itself no more than a burial club, the kind of quiet society that put a l
LEFT	eras/age_V/book/28_of_the_law_of_one_line.md:81	the burial club	(no "the" before it)	|	ng there, to be a good deal more than a burial club, though nobody that day said so aloud a
LEFT	eras/age_V/book/28_of_the_law_of_one_line.md:81	the burial club	(no "the" before it)	|	s own members and nothing so plain as a burial club at all, though the name it gave the Com
LEFT	eras/age_V/book/29_of_the_night_shift.md:19	the coal road	(no "the" before it)	|	ten, and it cost the carters of the old coal road their whole trade inside two years; the
LEFT	eras/age_V/book/29_of_the_night_shift.md:35	the burial club	(no "the" before it)	|	egun four years before under cover of a burial club, at Baile thais and at Cnoc chaol both,
LEFT	eras/age_V/book/29_of_the_night_shift.md:65	the Company	(no "the" before it)	|	that same evening; a man who has kept a Company's staff two-and-thirty years learns to re
LEFT	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:23	the three households	(no "the" before it)	|	ce by the hand that copies it fair; and three households reading, winter on winter, the whole re
LEFT	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:123	the coal-touched	(no "the" before it)	|	s required it, in the humans' tongue as coal-touched.
LEFT	eras/age_V/book/31_of_the_line_of_aisling.md:101	the coal-touched	(no "the" before it)	|	isling, not Fionnan, not any child born coal-touched in the years that followed, though ever
LEFT	eras/age_V/book/31_of_the_line_of_aisling.md:119	the Administration	(no "the" before it)	|	n his last years, writing letters to an Administration that dismissed him for the writing of t
LEFT	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:15	the coal road	(no "the" before it)	|	onth, at Muileann shean on the northern coal road: a low stone house with a yard for hors
LEFT	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:15	the Residency	(no "the" before it)	|	 for. They called it the humans' second Residency, and did not mean it kindly, and the na
LEFT	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:57	the Church	(no "the" before it)	|	own. "We keep no watch with the humans' Church," said the custodian of Baile chrom's l
LEFT	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:61	the Spirit	(no "the" before it)	|	h Fiadhaich, the wild goose of your own Spirit, and your minister cannot find it in hi
LEFT	eras/age_V/book/35_of_the_houses_on_the_roads.md:24	the Company	(no "the" before it)	|	 three different flags of custodian and Company both, took to being paid, for certain n
LEFT	eras/age_V/book/38_of_the_leaden_hawk.md:63	the Residency	(no "the" before it)	|	hes and a few crates of cartridges to a Residency that had asked for regiments, and saile
LEFT	eras/age_V/book/40_of_the_truce_and_the_closing_of_the_crossing.md:12	the Administration	(no "the" before it)	|	arliest years, before there had been an Administration to house. He had been a soldier before 
LEFT	eras/age_V/book/40_of_the_truce_and_the_closing_of_the_crossing.md:90	the Residency	(no "the" before it)	|	etter-books left behind in the stripped Residency and whatever else had not gone west wit
LEFT	eras/age_V/gazetteer/01_west_coast_and_capital.json:282.history	the three ships	(no "the" before it)	|	 of Dia-thìr to see the strangers, when three ships lay off its cape in the first year and 
LEFT	eras/age_V/gazetteer/05_silver_and_the_north_west.json:419.history	the count of hands	(no "the" before it)	|	tnership in the sixty-seventh year by a count of hands in its hall, and in the years before th
LEFT	eras/age_V/gazetteer/07_baile_thais_and_the_middle_country.json:44.history	the burial club	(no "the" before it)	|	ag's search for an old law of rest. Its burial club became the Lamp-Watch, which kept a pur
LEFT	eras/age_V/gazetteer/10_the_posts_and_the_rending.json:212.history	the king-lists	(no "the" before it)	|	 mill of the north, whose wheel the old king-lists already call ancient, took Merriman's f
LEFT	eras/age_V/gazetteer/10_the_posts_and_the_rending.json:212.history	the coal road	(no "the" before it)	|	 with a yard for horses on the northern coal road. The townsfolk called it the humans' se
